file, prediction
060.txt, [0.44472744]
074.txt, [0.59659515]
048.txt, [0.4898127]
049.txt, [0.76446736]
075.txt, [0.74942145]
061.txt, [0.29053057]
088.txt, [0.86877218]
077.txt, [0.50769745]
063.txt, [0.57254894]
062.txt, [0.83921516]
076.txt, [0.25772748]
089.txt, [0.63844874]
099.txt, [0.78958693]
072.txt, [0.87274155]
066.txt, [0.61975351]
067.txt, [0.78138112]
073.txt, [0.61069038]
098.txt, [0.66560555]
059.txt, [0.20210893]
065.txt, [0.61275212]
071.txt, [0.37305351]
070.txt, [0.3937296]
064.txt, [0.89307047]
058.txt, [0.76691039]
003.txt, [0.44184634]
017.txt, [0.60599171]
016.txt, [0.30787435]
002.txt, [0.53471095]
014.txt, [0.37540331]
028.txt, [0.10405932]
029.txt, [0.51597579]
001.txt, [0.41443819]
015.txt, [0.42407927]
039.txt, [0.62673264]
011.txt, [0.74547784]
005.txt, [0.77795496]
004.txt, [0.91534184]
010.txt, [0.76436379]
038.txt, [0.93887817]
006.txt, [0.56466992]
012.txt, [0.86885191]
013.txt, [0.88968473]
007.txt, [0.31538488]
022.txt, [0.30964989]
036.txt, [0.26101147]
037.txt, [0.90544087]
023.txt, [0.85332372]
035.txt, [0.16965832]
021.txt, [0.35834153]
009.txt, [0.74704456]
008.txt, [0.6581282]
020.txt, [0.84285667]
034.txt, [0.83164605]
018.txt, [0.43306641]
030.txt, [0.77021911]
024.txt, [0.83282089]
025.txt, [0.79854161]
031.txt, [0.52915709]
019.txt, [0.68522389]
027.txt, [0.88466289]
033.txt, [0.88630156]
032.txt, [0.85167051]
026.txt, [0.47423187]
082.txt, [0.23110391]
096.txt, [0.74994935]
041.txt, [0.66434627]
055.txt, [0.60904123]
069.txt, [0.35474886]
068.txt, [0.76748976]
054.txt, [0.48234346]
040.txt, [0.82765815]
097.txt, [0.52132131]
083.txt, [0.4221534]
095.txt, [0.89041995]
081.txt, [0.59301279]
056.txt, [0.92053327]
042.txt, [0.52141441]
043.txt, [0.34071687]
057.txt, [0.94776594]
080.txt, [0.41622677]
094.txt, [0.48811332]
090.txt, [0.83439081]
084.txt, [0.69141321]
053.txt, [0.46424839]
047.txt, [0.75869002]
046.txt, [0.3751194]
052.txt, [0.42366175]
085.txt, [0.86090928]
091.txt, [0.19176881]
087.txt, [0.56947941]
093.txt, [0.32738387]
078.txt, [0.3807973]
044.txt, [0.10232699]
050.txt, [0.73163311]
051.txt, [0.55260743]
045.txt, [0.6506753]
079.txt, [0.53660089]
092.txt, [0.84401846]
086.txt, [0.82873712]
